Date,Expiry,Strike,Call,Put,Underlying Value
5-Mar-19,28-Mar-19,12900,1.05,1797.5,10987.45
5-Mar-19,28-Mar-19,13000,0.9,1951.6,10987.45
5-Mar-19,28-Mar-19,13100,80.35,1680.95,10987.45
5-Mar-19,28-Mar-19,13200,58.4,1645.8,10987.45
5-Mar-19,28-Mar-19,13300,1.5,1719.55,10987.45
5-Mar-19,28-Mar-19,13400,3,1741.3,10987.45
5-Mar-19,28-Mar-19,13500,0.75,2700,10987.45
5-Mar-19,28-Mar-19,13600,3,1799,10987.45
5-Mar-19,28-Mar-19,13700,2,1799.15,10987.45
5-Mar-19,28-Mar-19,13800,3,1813.35,10987.45
5-Mar-19,28-Mar-19,13900,19.85,1832.05,10987.45
5-Mar-19,28-Mar-19,14000,0.9,2940.5,10987.45
5-Mar-19,28-Mar-19,14100,1,3368.75,10987.45
5-Mar-19,28-Mar-19,7600,3382,1.2,10987.45
5-Mar-19,28-Mar-19,7700,2970.55,7.75,10987.45
5-Mar-19,28-Mar-19,7800,2879.65,9.75,10987.45
5-Mar-19,28-Mar-19,7900,2789.15,3.05,10987.45
5-Mar-19,28-Mar-19,8000,3005.2,1.7,10987.45
5-Mar-19,28-Mar-19,8100,2609.7,18.4,10987.45
5-Mar-19,28-Mar-19,8200,2520.85,22.4,10987.45
5-Mar-19,28-Mar-19,8300,2432.65,27.1,10987.45
5-Mar-19,28-Mar-19,8400,2345.25,32.55,10987.45
5-Mar-19,28-Mar-19,8500,2525,2.05,10987.45
5-Mar-19,28-Mar-19,8600,2433,3.05,10987.45
5-Mar-19,28-Mar-19,8700,2333,1.65,10987.45
5-Mar-19,28-Mar-19,8800,2005,63.8,10987.45
5-Mar-19,28-Mar-19,8900,1922.75,74.4,10987.45
5-Mar-19,28-Mar-19,9000,2015.6,3.8,10987.45
5-Mar-19,28-Mar-19,9100,1732.15,3.4,10987.45
5-Mar-19,28-Mar-19,9150,1685.15,6.15,10987.45
5-Mar-19,28-Mar-19,9200,1600,4,10987.45
5-Mar-19,28-Mar-19,9250,1589.45,8.7,10987.45
5-Mar-19,28-Mar-19,9300,1595.2,5.35,10987.45
5-Mar-19,28-Mar-19,9350,1615.35,13.25,10987.45
5-Mar-19,28-Mar-19,9400,1438.2,4.9,10987.45
5-Mar-19,28-Mar-19,9450,1521.7,3.05,10987.45
5-Mar-19,28-Mar-19,9500,1517.35,4.55,10987.45
5-Mar-19,28-Mar-19,9550,1429.35,23.6,10987.45
5-Mar-19,28-Mar-19,9600,1419.4,4.5,10987.45
5-Mar-19,28-Mar-19,9650,1338.45,30.85,10987.45
5-Mar-19,28-Mar-19,9700,1320,5.5,10987.45
5-Mar-19,28-Mar-19,9750,1249.25,39.8,10987.45
5-Mar-19,28-Mar-19,9800,1218.75,7.2,10987.45
5-Mar-19,28-Mar-19,9850,1162.05,50.75,10987.45
5-Mar-19,28-Mar-19,9900,1113.65,8.65,10987.45
5-Mar-19,28-Mar-19,9950,1077.05,63.9,10987.45
5-Mar-19,28-Mar-19,10000,1031.5,10,10987.45
5-Mar-19,28-Mar-19,10050,994.6,79.6,10987.45
5-Mar-19,28-Mar-19,10100,929.5,12.85,10987.45
5-Mar-19,28-Mar-19,10150,766.75,27.5,10987.45
5-Mar-19,28-Mar-19,10200,840,16.75,10987.45
5-Mar-19,28-Mar-19,10250,838.2,18.7,10987.45
5-Mar-19,28-Mar-19,10300,748.05,21.6,10987.45
5-Mar-19,28-Mar-19,10350,765.15,25.25,10987.45
5-Mar-19,28-Mar-19,10400,647.55,27.95,10987.45
5-Mar-19,28-Mar-19,10450,515,32.35,10987.45
5-Mar-19,28-Mar-19,10500,560.2,37.25,10987.45
5-Mar-19,28-Mar-19,10550,482.75,42.4,10987.45
5-Mar-19,28-Mar-19,10600,471.65,48.35,10987.45
5-Mar-19,28-Mar-19,10650,381.2,54.95,10987.45
5-Mar-19,28-Mar-19,10700,385.2,62.15,10987.45
5-Mar-19,28-Mar-19,10750,347.75,72,10987.45
5-Mar-19,28-Mar-19,10800,307.35,81.3,10987.45
5-Mar-19,28-Mar-19,10850,267.9,93.7,10987.45
5-Mar-19,28-Mar-19,10900,232.6,106.4,10987.45
5-Mar-19,28-Mar-19,10950,198.2,121.5,10987.45
5-Mar-19,28-Mar-19,11000,166.4,138.95,10987.45
5-Mar-19,28-Mar-19,11050,137.6,157.4,10987.45
5-Mar-19,28-Mar-19,11100,110.95,181.7,10987.45
5-Mar-19,28-Mar-19,11150,89.05,208.55,10987.45
5-Mar-19,28-Mar-19,11200,69.45,239.7,10987.45
5-Mar-19,28-Mar-19,11250,52.2,536.9,10987.45
5-Mar-19,28-Mar-19,11300,39.75,305.85,10987.45
5-Mar-19,28-Mar-19,11350,28.6,354.5,10987.45
5-Mar-19,28-Mar-19,11400,21.25,383.4,10987.45
5-Mar-19,28-Mar-19,11450,15.8,666.35,10987.45
5-Mar-19,28-Mar-19,11500,12.05,474,10987.45
6-Mar-19,28-Mar-19,11550,11.25,736.15,11053
6-Mar-19,28-Mar-19,11600,8,510.8,11053
6-Mar-19,28-Mar-19,11650,3.85,809.6,11053
6-Mar-19,28-Mar-19,11700,4.75,612.95,11053
