Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-26,23141.080078125,23227.91015625,23021.939453125,23154.30078125,11500,0,0
2016-02-29,23238.5,23343.220703125,22494.609375,23002.0,58900,0,0
2016-03-01,23153.3203125,23821.490234375,23133.1796875,23779.349609375,15700,0,0
2016-03-02,24044.9609375,24280.419921875,24043.890625,24242.98046875,22800,0,0
2016-03-03,24386.669921875,24640.509765625,24383.279296875,24606.990234375,19500,0,0
2016-03-04,24704.58984375,24719.05078125,24531.80078125,24646.48046875,17500,0,0
2016-03-08,24655.189453125,24793.619140625,24509.2109375,24659.23046875,26000,0,0
2016-03-09,24527.26953125,24820.759765625,24451.599609375,24793.9609375,11900,0,0
2016-03-10,24815.69921875,24817.48046875,24471.390625,24623.33984375,14400,0,0
2016-03-11,24620.390625,24817.80078125,24552.259765625,24717.990234375,14800,0,0
2016-03-14,24801.69921875,24960.509765625,24734.0390625,24804.279296875,30100,0,0
2016-03-15,24832.0390625,24840.76953125,24517.279296875,24551.169921875,12100,0,0
2016-03-16,24537.609375,24706.849609375,24354.55078125,24682.48046875,11000,0,0
2016-03-17,24852.1796875,24948.30078125,24576.51953125,24677.369140625,14600,0,0
2016-03-18,24729.41015625,24986.939453125,24681.640625,24952.740234375,14100,0,0
2016-03-21,25007.560546875,25327.44921875,24988.26953125,25285.369140625,12400,0,0
2016-03-22,25331.009765625,25381.330078125,25083.69921875,25330.490234375,12000,0,0
2016-03-23,25322.099609375,25367.810546875,25156.8203125,25337.560546875,9500,0,0
2016-03-28,25417.109375,25432.939453125,24895.490234375,24966.400390625,10100,0,0
2016-03-29,24957.240234375,25079.349609375,24835.560546875,24900.4609375,11000,0,0
2016-03-30,25062.060546875,25358.83984375,25055.419921875,25338.580078125,10700,0,0
2016-03-31,25364.75,25479.619140625,25223.220703125,25341.859375,11500,0,0
2016-04-01,25301.69921875,25354.939453125,25119.349609375,25269.640625,11400,0,0
2016-04-04,25333.98046875,25424.150390625,25223.490234375,25399.650390625,7800,0,0
2016-04-05,25372.439453125,25372.439453125,24837.509765625,24883.58984375,14800,0,0
2016-04-06,24978.859375,25000.650390625,24834.16015625,24900.630859375,10300,0,0
2016-04-07,24998.7890625,25013.130859375,24647.48046875,24685.419921875,19200,0,0
2016-04-08,24665.80078125,24736.029296875,24608.509765625,24673.83984375,9700,0,0
2016-04-11,24789.400390625,25049.919921875,24523.19921875,25022.16015625,25900,0,0
2016-04-12,25056.470703125,25180.01953125,24996.439453125,25145.58984375,11500,0,0
2016-04-13,25358.419921875,25671.5,25358.419921875,25626.75,14600,0,0
2016-04-18,25833.16015625,25870.029296875,25634.119140625,25816.359375,8500,0,0
2016-04-20,25942.33984375,25956.33984375,25716.810546875,25844.1796875,11300,0,0
2016-04-21,25979.6796875,26080.0703125,25783.119140625,25880.380859375,18100,0,0
2016-04-22,25892.490234375,25922.01953125,25771.880859375,25838.140625,13400,0,0
2016-04-25,25891.029296875,25891.029296875,25585.9296875,25678.9296875,8200,0,0
2016-04-26,25604.919921875,26055.0,25549.05078125,26007.30078125,11200,0,0
2016-04-27,25956.419921875,26092.9296875,25885.240234375,26064.119140625,11200,0,0
2016-04-28,26078.279296875,26100.5390625,25561.169921875,25603.099609375,14600,0,0
2016-04-29,25612.91015625,25755.4296875,25424.029296875,25606.619140625,14600,0,0
2016-05-02,25565.439453125,25565.439453125,25341.140625,25436.970703125,7700,0,0
2016-05-03,25500.140625,25705.9609375,25192.939453125,25229.69921875,11000,0,0
2016-05-04,25210.869140625,25245.69921875,25061.0390625,25101.73046875,15800,0,0
2016-05-05,25187.66015625,25394.099609375,25162.939453125,25262.2109375,11300,0,0
2016-05-06,25223.669921875,25260.48046875,25057.9296875,25228.5,11300,0,0
2016-05-09,25321.830078125,25709.6796875,25302.859375,25688.859375,11700,0,0
2016-05-10,25682.98046875,25809.9296875,25614.240234375,25772.529296875,10500,0,0
2016-05-11,25548.970703125,25762.490234375,25409.240234375,25597.01953125,9300,0,0
2016-05-12,25684.599609375,25827.029296875,25620.26953125,25790.220703125,9800,0,0
2016-05-13,25739.939453125,25743.689453125,25400.26953125,25489.5703125,12500,0,0
2016-05-16,25528.80078125,25688.4609375,25351.619140625,25653.23046875,12900,0,0
2016-05-17,25756.140625,25927.310546875,25733.759765625,25773.609375,11400,0,0
2016-05-18,25671.48046875,25747.0,25503.400390625,25704.609375,9800,0,0
2016-05-19,25713.83984375,25714.560546875,25351.990234375,25399.720703125,14400,0,0
2016-05-20,25428.419921875,25506.060546875,25251.900390625,25301.900390625,13600,0,0
2016-05-23,25447.720703125,25519.259765625,25207.779296875,25230.359375,11300,0,0
2016-05-24,25256.970703125,25340.470703125,25181.470703125,25305.470703125,10700,0,0
2016-05-25,25432.099609375,25897.869140625,25430.58984375,25881.169921875,9500,0,0
2016-05-26,26008.25,26398.939453125,25941.509765625,26366.6796875,13900,0,0
2016-05-27,26415.9296875,26677.4296875,26405.279296875,26653.599609375,20800,0,0
2016-05-30,26694.75,26794.9609375,26623.330078125,26725.599609375,14800,0,0
2016-05-31,26817.75,26837.19921875,26561.580078125,26667.9609375,26500,0,0
2016-06-01,26684.4609375,26857.25,26671.859375,26713.9296875,13400,0,0
2016-06-02,26694.279296875,26885.16015625,26641.01953125,26843.140625,11100,0,0
2016-06-03,26919.23046875,27008.140625,26792.0703125,26843.029296875,13000,0,0
2016-06-06,26897.83984375,26901.419921875,26729.5390625,26777.44921875,8700,0,0
2016-06-07,26833.5390625,27082.630859375,26829.529296875,27009.669921875,14800,0,0
2016-06-08,27085.240234375,27105.41015625,26973.7109375,27020.66015625,12500,0,0
2016-06-09,26994.48046875,26994.91015625,26692.349609375,26763.4609375,10100,0,0
2016-06-10,26742.259765625,26972.060546875,26620.5,26635.75,10100,0,0
2016-06-13,26468.26953125,26468.26953125,26262.26953125,26396.76953125,9100,0,0
2016-06-14,26482.5,26485.44921875,26264.810546875,26395.7109375,7800,0,0
2016-06-15,26500.7890625,26752.58984375,26446.58984375,26726.33984375,12300,0,0
2016-06-16,26686.029296875,26686.029296875,26314.91015625,26525.4609375,12600,0,0
2016-06-17,26653.849609375,26730.55078125,26538.509765625,26625.91015625,9300,0,0
2016-06-20,26497.109375,26885.490234375,26447.880859375,26866.919921875,9500,0,0
2016-06-21,26907.419921875,26925.640625,26754.599609375,26812.779296875,7000,0,0
2016-06-22,26791.6796875,26887.2890625,26617.44921875,26765.650390625,7700,0,0
2016-06-23,26753.19921875,27060.98046875,26736.51953125,27002.220703125,9300,0,0
2016-06-24,26367.48046875,26435.849609375,25911.330078125,26397.7109375,24400,0,0
2016-06-27,26347.810546875,26493.509765625,26262.720703125,26402.9609375,18300,0,0
2016-06-28,26410.66015625,26583.330078125,26378.4609375,26524.55078125,8100,0,0
2016-06-29,26627.150390625,26776.169921875,26606.310546875,26740.390625,7700,0,0
2016-06-30,26926.169921875,27069.23046875,26872.58984375,26999.720703125,8600,0,0
2016-07-01,27064.330078125,27243.359375,27061.400390625,27144.91015625,10000,0,0
